station_code,Fenwei,Province,CityEN,designation,YRD,PRD,keyregion,GADM_ID_2,CityID,CityGADM,NAME_2,Lon,Lat,keyregion2018,station,City,ProvinceZH
1001A,0,Beijing,Beijing,26+2,FALSE,FALSE,Jingjinji,18,233,18,Beijing,116.366,39.8673,2+26,万寿西宫,北京,北京
1002A,0,Beijing,Beijing,26+2,FALSE,FALSE,Jingjinji,18,233,18,Beijing,116.17,40.2865,2+26,定陵,北京,北京
1003A,0,Beijing,Beijing,26+2,FALSE,FALSE,Jingjinji,18,233,18,Beijing,116.434,39.9522,2+26,东四,北京,北京
1004A,0,Beijing,Beijing,26+2,FALSE,FALSE,Jingjinji,18,233,18,Beijing,116.434,39.8745,2+26,天坛,北京,北京
1005A,0,Beijing,Beijing,26+2,FALSE,FALSE,Jingjinji,18,233,18,Beijing,116.473,39.9716,2+26,农展馆,北京,北京
1006A,0,Beijing,Beijing,26+2,FALSE,FALSE,Jingjinji,18,233,18,Beijing,116.361,39.9425,2+26,官园,北京,北京
1007A,0,Beijing,Beijing,26+2,FALSE,FALSE,Jingjinji,18,233,18,Beijing,116.315,39.9934,2+26,海淀区万柳,北京,北京
1008A,0,Beijing,Beijing,26+2,FALSE,FALSE,Jingjinji,18,233,18,Beijing,116.72,40.1438,2+26,顺义新城,北京,北京
1009A,0,Beijing,Beijing,26+2,FALSE,FALSE,Jingjinji,18,233,18,Beijing,116.644,40.3937,2+26,怀柔镇,北京,北京
1010A,0,Beijing,Beijing,26+2,FALSE,FALSE,Jingjinji,18,233,18,Beijing,116.23,40.1952,2+26,昌平镇,北京,北京
1011A,0,Beijing,Beijing,26+2,FALSE,FALSE,Jingjinji,18,233,18,Beijing,116.407,40.0031,2+26,奥体中心,北京,北京
1012A,0,Beijing,Beijing,26+2,FALSE,FALSE,Jingjinji,18,233,18,Beijing,116.225,39.9279,2+26,古城,北京,北京
1013A,0,Tianjin,Tianjin,26+2,FALSE,FALSE,Jingjinji,296,51,296,Tianjin,117.151,39.097,2+26,市监测中心,天津,天津
1014A,0,Tianjin,Tianjin,26+2,FALSE,FALSE,Jingjinji,296,51,296,Tianjin,117.193,39.173,2+26,南口路,天津,天津
1015A,0,Tianjin,Tianjin,26+2,FALSE,FALSE,Jingjinji,296,51,296,Tianjin,117.145,39.1654,2+26,勤俭路,天津,天津
1016A,0,Tianjin,Tianjin,26+2,FALSE,FALSE,Jingjinji,296,51,296,Tianjin,117.184,39.1205,2+26,南京路,天津,天津
1017A,0,Tianjin,Tianjin,26+2,FALSE,FALSE,Jingjinji,296,51,296,Tianjin,117.237,39.1082,2+26,大直沽八号路,天津,天津
1018A,0,Tianjin,Tianjin,26+2,FALSE,FALSE,Jingjinji,296,51,296,Tianjin,117.202,39.0927,2+26,前进路,天津,天津
1019A,0,Tianjin,Tianjin,26+2,FALSE,FALSE,Jingjinji,296,51,296,Tianjin,117.1837,39.2133,2+26,北辰科技园区,天津,天津
1020A,0,Tianjin,Tianjin,26+2,FALSE,FALSE,Jingjinji,296,51,296,Tianjin,117.269,39.1337,2+26,天山路,天津,天津
1021A,0,Tianjin,Tianjin,26+2,FALSE,FALSE,Jingjinji,296,51,296,Tianjin,117.307,39.0877,2+26,跃进路,天津,天津
1023A,0,Tianjin,Tianjin,26+2,FALSE,FALSE,Jingjinji,296,51,296,Tianjin,117.707,39.0343,2+26,第四大街,天津,天津
1024A,0,Tianjin,Tianjin,26+2,FALSE,FALSE,Jingjinji,296,51,296,Tianjin,117.457,38.8394,2+26,永明路,天津,天津
1025A,0,Tianjin,Tianjin,26+2,FALSE,FALSE,Jingjinji,296,51,296,Tianjin,117.401,39.124,2+26,航天路,天津,天津
1026A,0,Tianjin,Tianjin,26+2,FALSE,FALSE,Jingjinji,296,51,296,Tianjin,117.764,39.1587,2+26,汉北路,天津,天津
1027A,0,Tianjin,Tianjin,26+2,FALSE,FALSE,Jingjinji,296,51,296,Tianjin,117.157,38.9194,2+26,团泊洼,天津,天津
1028A,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,化工学校,石家庄,NA
